"['Qh']:[['Kh']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Kh']]:[0, 3, 3],[0]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Qs']:[]:[0, 4],[]","[0.0, 1.0]"
"['Qs']:[]:[2, 3],[]","[0.0, 0.0, 1.0]"
"['Qs']:[['Ks']]:[2, 3, 1],[]","[0.0, 1.0]"
"['As']:[['Ks']]:[2, 3, 1],[0]","[0.5, 0.5]"
"['As']:[['Ks']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ks']:[['Ah']]:[0, 0],[]","[0.494, 0.0, 0.506, 0.0]"
"['As']:[['Ah']]:[0, 0],[2]","[0.0, 0.111, 0.111, 0.111, 0.667]"
"['Ks']:[['Ah']]:[0, 0],[2, 3]","[0.562, 0.0, 0.438]"
"['Ks']:[['Ah']]:[0, 0],[2, 4]","[1.0, 0.0]"
"['Ks']:[['Ah']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['As']:[['Ah']]:[0, 2, 2],[0]","[0.0, 0.0, 1.0]"
"['Ks']:[['Ah']]:[0, 2, 2],[0, 1]","[0.333, 0.333, 0.333]"
"['Ks']:[['Ah']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Ks']:[['Ah']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Ah']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Ks']:[['Ah']]:[0, 3, 3],[0, 1]","[0.5, 0.5]"
"['Ah']:[['Qs']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Ah']:[['Qs']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qs']]:[2, 2],[0]","[0.5, 0.0, 0.5]"
"['Ah']:[['Qs']]:[2, 2],[1]","[0.0, 0.5, 0.5]"
"['Ah']:[['Qs']]:[2, 2],[2]","[0.0, 1.0]"
"['Qh']:[['As']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Qh']:[['As']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Ks']:[['As']]:[0, 3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[0, 3, 3],[]","[0.167, 0.833]"
"['Ks']:[['Qs']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qh']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
